Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,,,,,
10/23/2023 9:06:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo,Funcionan bien las computadoras solo falta que la red este un poco mejor.,,,,,,,
11/30/2023 12:49:38,Felicitación,Préstamo de Equipo Informático,Buen computo,Felicidades ,,,,,,,
12/19/2023 10:46:15,Queja,Auditoría Interna,Pretamos de computadoras,Las computadoras están muy lentas y ni siquiera están conectadas a un Internet estable.,,,,,,,
1/16/2024 12:17:52,Sugerencia,Reinscripción,.,.,,,,,,,
1/16/2024 12:49:40,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo ,El laboratorio esta en excelentes condiciones ,,,,,,,
1/16/2024 12:59:14,Sugerencia,Préstamo de Equipo Informático,Computadora ,Que no sean tan apáticos ,,,,,,,
1/16/2024 13:28:34,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Préstamo de equipo ,Buen servicio 🐕‍🦺,,,,,,,
1/16/2024 13:29:57,Felicitación,Servicio Social,Préstamo de equipo ,Ta bien ,,,,,,,
1/16/2024 13:58:47,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo computacional ,Buen servicio,,,,,,,
1/16/2024 13:59:09,Felicitación,Tutorías,Tareas,Todo exelente ,,,,,,,
1/16/2024 14:02:05,Sugerencia,Préstamo de Equipo Informático,Laboratorio uso libre,Las computadoras van lentas,,,,,,,
1/16/2024 14:25:32,Felicitación,Servicio Social,Ok,Felicidades ,,,,,,,
1/16/2024 14:30:18,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo , Que casi ningún equipo se puede prender ,,,,,,,
1/16/2024 14:32:02,Sugerencia,Préstamo de Equipo Informático,Préstamo del aula 1103,Tener más contactos de luz para poder conectar en caso de traer lap,,,,,,,
1/16/2024 14:32:02,Felicitación,Préstamo de Equipo Informático,Uso de pc,Se agradece el uso de azure,,,,,,,
1/16/2024 14:51:44,Sugerencia,Préstamo de Equipo Informático,Equipo de cómputo ,Agregar lector de disco ,,,,,,,
1/16/2024 18:14:35,Felicitación,Préstamo de Equipo Informático,Prestamo,No,,,,,,,
1/16/2024 18:15:26,Felicitación,Control de Información Documentada,Udi,Todo bien ,,,,,,,
1/16/2024 18:17:25,Felicitación,Préstamo de Equipo Informático,Udi ,Todo bien,,,,,,,
1/17/2024 14:36:24,Sugerencia,Préstamo de Equipo Informático,Prestamo de equipo ,Verificar que el disco duro siempre está al 100%,,,,,,,
1/17/2024 14:36:44,Felicitación,Préstamo de Equipo Informático,Presta de equipo informático,Servicio eficiente ,,,,,,,
1/17/2024 14:36:51,Felicitación,Préstamo de Equipo Informático,presta de equipo informático ,Me agradaron las computadora ,,,,,,,
1/18/2024 14:55:50,Queja,Préstamo de Equipo Informático,Laboratorio de uso libre,No hay quemador de discos y se requiere para grabar la información en los discos que solicita la CATT para TT2,,,,,,,
2/22/2024 14:51:11,Felicitación,Préstamo de Equipo Informático,Prestación de computadora,La máquina no tenía internet,,,,,,,
2/22/2024 14:53:56,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo informático,Simplemente que en el futuro puedan haber más máquinas con conexión de Internet. ,,,,,,,
3/8/2024 15:02:56,Sugerencia,Préstamo de Equipo Informático,Préstamo de equipo ,Que en el futuro haya más ordenadores con conexión de Internet ,,,,,,,
3/13/2024 13:39:09,Sugerencia,Préstamo de Equipo Informático,Prestamo,.,,,,,,,
3/13/2024 14:44:15,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadora,Que quizá en el futuro puedan haber más máquinas con conexión de Internet. Quizá también que se vigile que no vuelvan a robar equipo de cómputo. ,,,,,,,
3/14/2024 14:47:43,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Laboratorio ,Algunas no tienen internet,,,,,,,
3/20/2024 13:03:44,Queja,Trámite de Documentos de Gestión Escolar,"Inscripcion, solicitud de informacion","La mayoría del personal, no todos, pareciera que te hacen un favor cuando solicitas informacion ya sea en ventanilla o por vía telefonica. En mas de una ocasion se han limitado a decirme que la informacion se encuentra en la pagina, sin embargo, a veces he encontrado url a formularios vencidos o con informacion de semestres anteriores.",,,,,,,
4/3/2024 9:01:10,Sugerencia,Gestión de la Encuesta del Desempeño Docente,Profesor,"Buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos
Quedó atento a su respuesta
Saludos ",,,,,,,
4/17/2024 10:14:07,Sugerencia,Control y Ejercicio de Recursos Excedentes,Revision,Queja,,,,,,,
4/17/2024 12:03:50,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Computadora ,Ninguna ,,,,,,,
4/17/2024 13:02:10,Felicitación,Mantenimiento de la Infraestructura Física,Cómputo ,Felicitaciones,,,,,,,
4/17/2024 14:59:39,Felicitación,Préstamo de Equipo Informático,Laboratorio,Todo bien,,,,,,,
4/19/2024 16:12:20,Sugerencia,Mantenimiento de la Infraestructura Física,Laboratorio libre ,Pongan internet a las demás computadoras ,,,,,,,
4/22/2024 14:51:33,Felicitación,Gestión del Diseño Curricular de Programas Académicos,A,"A
A",,,,,,,
4/23/2024 16:48:54,Sugerencia,Préstamo de Equipo Informático,Computadoras ,Ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen ,,,,,,,
4/24/2024 11:24:56,Queja,Gestión del Diseño Curricular de Programas Académicos,Préstamo computadoras,Felicitacion,,,,,,,
4/24/2024 11:25:32,Felicitación,Gestión del Diseño Curricular de Programas Académicos,F,Todo excelente ,,,,,,,
4/24/2024 14:28:09,Sugerencia,Prácticas Académicas de Laboratorios y Talleres,Especificaciones ,Los,,,,,,,
4/24/2024 14:28:44,Sugerencia,Gestión del Diseño de Programas de Estudio,N,H,,,,,,,
4/24/2024 14:47:19,Sugerencia,Préstamo de Equipo Informático,Préstamo de computadora,Que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de Internet. ,,,,,,,
4/25/2024 11:32:51,Queja,Préstamo de Equipo Informático,Salas de cómputo ,En la mayoría de computadoras no hay Internet ,,,,,,,
4/25/2024 14:57:01,Sugerencia,Gestión del Diseño de Programas de Estudio,Jdsj,Hhj,,,,,,,
4/25/2024 18:07:43,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,U,"D
",,,,,,,
4/26/2024 15:35:14,Sugerencia,Préstamo de Equipo Informático,Computadora para tarea,"Le hace falta internet a las compus, así como alguno que otro programa necesario ",,,,,,,
4/30/2024 10:42:08,Queja,Préstamo de Equipo Informático,Una máquina ,No todas las máquinas tienen internet ,,,,,,,
4/30/2024 11:53:53,Queja,Préstamo de Equipo Informático,Préstamo laboratorio libre ,Nº había Internet en las maquinas ,,,,,,,
4/30/2024 11:54:13,Felicitación,Préstamo de Equipo Informático,Equipo de computación ,Buena atención ,,,,,,,
4/30/2024 16:24:59,Sugerencia,Mantenimiento de la Infraestructura Física,Lab. Libre,Pongan internet a las ptras máquinas,,,,,,,
5/2/2024 17:58:38,Felicitación,Gestión del Diseño Curricular de Programas Académicos,H,"I
J
",,,,,,,
5/6/2024 18:14:03,Felicitación,Control de Información Documentada,Si,Ninguna,,,,,,,
5/7/2024 10:10:09,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Compu,Felicidades ,,,,,,,
5/7/2024 10:10:21,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Computación ,Dan un buen servicio ,,,,,,,
5/9/2024 15:47:48,Queja,Préstamo de Equipo Informático,Computadora ,No hay internet ,,,,,,,
5/9/2024 15:48:36,Sugerencia,Adjudicación Directa de Materiales y/o Servicios,Computadora ,No tenían internet ,,,,,,,
5/13/2024 10:40:48,Queja,Gestión para las Prácticas y/o Visitas Escolares,Lab de uso libre,No hay internet ,,,,,,,
