"Detalles de la queja, sugerencia o felicitación",Tipo de registro
funcionar computadora falta red,Felicitación
felicidad,Felicitación
computadora lenta siquiera conectado internet estable,Queja
laboratorio excelente condición,Felicitación
apatico,Sugerencia
servicio,Felicitación
servicio,Felicitación
exelente,Felicitación
computadora lenta,Sugerencia
felicidad,Felicitación
ningun equipo prender,Sugerencia
contacto luz conectar caso traer lap,Sugerencia
agradecer azure,Felicitación
agregar lector disco,Sugerencia
verificar disco duro,Sugerencia
servicio eficiente,Felicitación
agradar computadora,Felicitación
quemador disco requerir grabar informacion disco solicitar catt tt,Queja
maquina tenia internet,Felicitación
simplemente futuro maquina conexion internet,Sugerencia
futuro ordenador conexion internet,Sugerencia
quizar futuro maquina conexion internet quizar vigilir volver robar equipo computo,Sugerencia
internet,Sugerencia
mayoria personal parecierar favor solicitar informacion ventanilla via telefonica ocasion limitar decir yo informacion encontrar pagina encontrar url formulario vencido informacion semestre,Queja
gustariar comunicar yo postular yo catedratico experto area analisis vizualizador dato ano mundo corporativo importante empresa retrail curso nacional internacional buscar seguir compartir conocimiento quedo atento respuesta saludo,Sugerencia
felicitación,Felicitación
internet dema computadora,Sugerencia
ojala internet tuvieramos esperar desocupir,Sugerencia
felicitacion,Queja
excelente,Felicitación
futuro aumentar numero computadora conexion internet,Sugerencia
mayoria computadora internet,Queja
falta internet compus programa necesario,Sugerencia
maquina internet,Queja
internet maquina,Queja
atencion,Felicitación
internet ptra maquina,Sugerencia
felicidad,Felicitación
servicio,Felicitación
internet,Queja
teniar internet,Sugerencia
internet,Queja
atencion,Sugerencia
internet maquina,Sugerencia
internet computadora,Sugerencia
faltar internet compus,Sugerencia
computadora internet prender,Sugerencia
atencion,Felicitación
felicitacion,Felicitación
felicitacion limpio,Felicitación
computadora internet,Felicitación
atencion,Sugerencia
queja absoluto fluir,Felicitación
cansado,Queja
felicitacion,Felicitación
servicio,Felicitación
gestion cable internet reparticion,Sugerencia
gestion internet equipo contar,Sugerencia
atencion,Felicitación
internet,Sugerencia
felicitacion,Felicitación
deberiar conectar computadora internet,Felicitación
internet compus,Sugerencia
felicitacion,Felicitación
felicidad,Felicitación
equipo excelente,Felicitación
atencion,Felicitación
malo internet nefasto,Queja
felicidad arreglar compi internet,Felicitación
ok,Felicitación
tenia internet computadora,Queja
gustar,Felicitación
computadora teniar internet servicio,Sugerencia
internet malo,Felicitación
servicio,Felicitación
fijar él internet distribucion cables ethernet,Sugerencia
servicio,Felicitación
atencion lento,Queja
internet,Sugerencia
internet maquina,Sugerencia
gusto equipo,Felicitación
chico pedir llenar encuesta quitar tiempo,Queja
persona ventanilla septiembre contesto prepotente despota informacion tramite,Queja
computadora internet tardar buscar internet,Queja
internet maquina,Sugerencia
atencion,Felicitación
felicitacion,Felicitación
amable atento,Felicitación
cable red ethernet disponible laptops,Sugerencia
servicio,Felicitación
funcionar,Felicitación
eficiencia,Felicitación
internet,Sugerencia
momento,Felicitación
internet,Queja
internet computadora,Queja
explicar pedir auditorio escom tenio pedir grupo subdireccion academico andar ocupado problema espera mirar esperar cara asco pasar atender mala gana hablar altaneramente ningunear siquiera dejar explicar situacion reganar culpa denigran espacio auditorio valer incitandote cancelar él,Queja
internet funcionar,Sugerencia
perfecto,Felicitación
internet,Queja
internet maquina,Sugerencia
mala computadora,Queja
maquina lenta,Sugerencia
equipo funciono,Felicitación
amable,Felicitación
amable,Felicitación
solicitar llenar formulario,Sugerencia
equipo computo atencion academica,Felicitación
equipo,Felicitación
servicio,Felicitación
trabajo,Felicitación
